"id";"poste";"localisation";"domaine";"contrat";"entreprise";"salaire";"niveau_etude";"competences"
"103";"Developpeur react et laravel";"Safi";"Informatique / Multimédia / Internet";"Anapec";"BETTER APPS";"6 000 - 8 000 DH";"Bac plus 2";"react,laravel"
"104";"Recrutement Développeur Fullstack Reactjs / Larvel";"Safi";"Informatique / Multimédia / Internet";"A discuter";"BETTER APPS";"A discuter";"Bac plus 2";"react,php,laravel"
"105";"Sharepoint developer/.NET";"Rabat";"Informatique / Multimédia / Internet";"CDI";"Vitsolutions";"Plus de 10 000 DH";"Bac plus 5";"html,css,shell,next"
"106";"Développeur(se) Applications mobile";"Casablanca";"Informatique / Multimédia / Internet";"A discuter";"Succursale Développement IT";"A discuter";"Bac plus 5";"react,flutter,react native"
"107";"Développeur web de marrakech";"Marrakech";"Marketing / Communication / Publicité / Rp";"CDI";"agence marrakech";"Commission";"Bac plus 2";"react,html,css,php,laravel,angular,node,wordpress"
"108";"Développeur web";"Marrakech";"Marketing / Communication / Publicité / Rp";"CDI";"agence marrakech";"Commission";"Bac plus 2";"react,html,css,php,laravel,angular,node,wordpress"
"109";"Développeur- chargé du projet- A distance";"Rabat";"Informatique / Multimédia / Internet";"CDD";"centexam";"A discuter";"Bac plus 3";"java,javascript,html,css"
"110";"DEVELOPPEUR WEB - MARRAKECH";"Marrakech";"Informatique / Multimédia / Internet";"CDI";"WESHORE";"A discuter";"Bac plus 4";"java,javascript,jquery,html,css,php,laravel,angular,wordpress"
"111";"Développeur web / mobile - Marrakech";"Marrakech";"Informatique / Multimédia / Internet";"CDI";"POWER FLEET";"A discuter";"Bac plus 2";"jquery,html,css,php,flutter,wordpress"
"112";"Développeur web wordpress";"Tout le Maroc";"Informatique / Multimédia / Internet";"A discuter";"Leman ebusiness";"3 000 - 4 000 DH";"Pas important";"wordpress"
"113";"Des développeurs expérimentés";"Tanger";"Informatique / Multimédia / Internet";"A discuter";"Bombs squad";"A discuter";"Bac plus 4";"html,css,php,wordpress"
"114";"DEVELOPPEUR FULLSTACK PhP & Java";"Tanger";"Informatique / Multimédia / Internet";"A discuter";"Simplon Maroc";"6 000 - 8 000 DH";"Pas important";"java,javascript,jquery,react,html,css,php,laravel,flutter,react native,vue,angular,node,ajax,bootstrap"
"115";"Intégrateur / Développeur Fullstack";"Casablanca";"Informatique / Multimédia / Internet";"CDI";"Vivace Consulting";"A discuter";"Bac plus 2";"java,javascript,jquery,react,html,css,php,laravel,angular,bootstrap,wordpress"
"116";"Développeurs informatique (H/F)";"Rabat";"Informatique / Multimédia / Internet";"A discuter";"Confidentiel";"A discuter";"Bac plus 5";"java,react,php,vue"
"117";"Développeur PHP / PRESTASHOP";"Tanger";"Informatique / Multimédia / Internet";"CDI";"L'NKBOOT MAROC";"Plus de 10 000 DH";"Pas important";"java,javascript,jquery,html,css,php"
"118";"MOBILE DEVELOPER / FLUTTER";"Marrakech";"Informatique / Multimédia / Internet";"CDI";"Profonde Solution";"A discuter";"Bac plus 2";"java,flutter"
"119";"Développeur PHP";"Marrakech";"Informatique / Multimédia / Internet";"CDI";"Azul Fish";"A discuter";"Bac plus 2";"php,laravel"
"120";"Développeur C Sharp Freelance";"Casablanca";"Informatique / Multimédia / Internet";"A discuter";"Livremoi.ma";"6 000 - 8 000 DH";"Bac plus 3";"c"
"121";"Développeur Web JAVA";"Casablanca";"Autre";"CDI";"Siway";"A discuter";"Bac plus 3";"java,javascript,jquery,html,j2ee,bootstrap,oracle"
"122";"Développeurs Python Django Full Stack#2";"Casablanca";"Informatique / Multimédia / Internet";"CDI";"TNA Consulting";"A discuter";"Bac plus 5";"python,django"
"123";"Développeur C++ Qt";"Nador";"Informatique / Multimédia / Internet";"CDI";"H2C DEVELOPEMENT";"A discuter";"Bac plus 3";"java,c++,javascript"
"124";"Développeur  Angular";"Tanger";"Informatique / Multimédia / Internet";"CDI";"DCM";"A discuter";"Bac plus 5";"react,vue,angular"
"125";"Développeuse (F) Maîtrisant obligatoire < .NET <";"Rabat";"Informatique / Multimédia / Internet";"A discuter";"IEE";"A discuter";"Bac plus 3";"java,javascript,html,css,php"
"126";"Développeur Full-Stack";"Casablanca";"Informatique / Multimédia / Internet";"CDI";"Groupe PGM";"A discuter";"Pas important";"java,javascript,react,html,css,php,laravel,vue,angular,jee,node,wordpress"
"127";"Développeur Fullstack";"Marrakech";"Informatique / Multimédia / Internet";"A discuter";"YC";"A discuter";"Bac plus 2";"laravel,wordpress"
"128";"Intégrateur/Développeur (H/F) Laravel expérimenté";"Marrakech";"Informatique / Multimédia / Internet";"A discuter";"Onestcom";"A discuter";"Bac plus 2";"css,laravel,wordpress"
"129";"Développeur Mobile";"Casablanca";"Banque / Finance / Assurance";"CDI";"Confidentiel";"A discuter";"Bac plus 5";"java,react,swift"
"130";"Développeur wordpress";"Casablanca";"Informatique / Multimédia / Internet";"A discuter";"ObjectZone";"A discuter";"Pas important";"wordpress"
"131";"Développeur Mobile flutter";"Casablanca";"Informatique / Multimédia / Internet";"A discuter";"Yarmo";"A discuter";"Pas important";"laravel,flutter"
"132";"Full Stack Developer";"Tanger";"Marketing / Communication / Publicité / Rp";"CDI";"Tanger";"4 000 - 6 000 DH";"Bac plus 3";"java,javascript,html,php,laravel,vue,next"
"133";"Ingénieur Développement C#";"Casablanca";"Informatique / Multimédia / Internet";"CDI";"Magnisfy Maroc";"A discuter";"Bac plus 5";"c#"
"134";"Intégrateur / Développeur H - WordPress";"Agadir";"Informatique / Multimédia / Internet";"CDI";"ClicWeb";"A discuter";"Pas important";"jquery,html,css,php,wordpress"
"135";"Expert Wordpress - Sécurité - SEO";"Casablanca";"Informatique / Multimédia / Internet";"A discuter";"Webcom";"A discuter";"Pas important";"php,wordpress"
"136";"Développeur iOS - IONIC";"Casablanca";"Informatique / Multimédia / Internet";"A discuter";"Webcom.ma";"A discuter";"Pas important";"java,swift"
"137";"Développeur WEB";"Casablanca";"Informatique / Multimédia / Internet";"CDI";"YOU-PROF";"A discuter";"Bac plus 4";"php"
"138";"Développeur Python/Odoo";"Rabat";"Informatique / Multimédia / Internet";"CDI";"Ayouris";"A discuter";"Pas important";"python"
"139";"Développeurs seniors Java JEE (H/F)";"Rabat";"Informatique / Multimédia / Internet";"A discuter";"SIS Consultants";"A discuter";"Bac plus 5";"java,jee"
"140";"Développeur Desktop Full Stack";"Tanger";"Industrie / Ingénierie / Energie";"A discuter";"GRETIN";"A discuter";"Bac plus 2";"java,c++,python"
"141";"Développeuse (F) Maîtrisant obligatoire < .NET <";"Rabat";"Informatique / Multimédia / Internet";"A discuter";"IEE";"A discuter";"Bac plus 3";"java,javascript,html,css,php"
"142";"Développeur C#";"Agadir";"Informatique / Multimédia / Internet";"A discuter";"E@sySolutions";"A discuter";"Bac plus 2";"c#,vb.net"
